Name,Ticker,"SubSector","MarketCap","ClosePrice","PERatio"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1514819.530868","2145.65","30.834137983797426"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1281129.4525248199","3463.4","39.50445428692013"
HDFC Bank Ltd,HDFCBANK,"Private Banks","844312.06038608","1526.2","26.523003040413162"
Infosys Ltd,INFY,"IT Services & Consulting","726584.23192782","1712.2","37.54763226333626"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","564958.6360971","2404.5","70.66399450870544"
Housing Development Finance Corporation Ltd,HDFC,"Home Financing","488397.73133135505","2704.15","26.061695177675798"
ICICI Bank Ltd,ICICIBANK,"Private Banks","488352.00913528","704.8","26.56352123823413"
State Bank of India,SBIN,"Public Banks","384828.752","431.2","17.17567609666401"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","370976.853138305","6156.55","83.93483289778884"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","355056.7283872","1788","35.54046695586977"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","349663.24399935","637.05","-23.18183737191965"
Wipro Ltd,WIPRO,"IT Services & Consulting","336099.9031642","615.5","31.130738316864885"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","303781.23917172","1119.45","27.257177135192464"
Asian Paints Ltd,ASIANPAINT,"Paints","286675.44349730003","2988.7","91.31856040611085"
ITC Ltd,ITC,"FMCG - Tobacco","260287.762201295","211.45","19.77691699620588"
Larsen & Toubro Ltd,LT,"Construction & Engineering","234352.8087084","1668.4","20.2326016567829"
Axis Bank Ltd,AXISBANK,"Private Banks","232976.79363267","759.9","32.37807933456698"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","232845.851553405","3594.55","211.7762340297825"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","227134.50946499998","14317.5","50.807860816336685"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","215218.06906821002","7460.7","39.394861721039256"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","211522.4996132","7002.2","48.192681782871176"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","186740.24071510002","778.3","64.30847666697662"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","180323.420872715","749.05","22.79401098125585"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","176147.17442478","18269.55","84.58732078618728"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","175858.62304316","1461.65","23.478432281449685"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","163166.2183464","1837.9","167.69395513504625"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","158042.7089271","1437","171.2940138375754"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","146057.04158165999","116.1","8.98885027541665"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","143769.950250815","704.15","28.78680701015457"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","143748.5524748","919.1","684.5169165466667"
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","135740.7","320.9","17.010112781954888"
HDFC Life Insurance Company Ltd,HDFCLIFE,"Insurance","135570.8352177","670.5","99.62070970607033"
Tech Mahindra Ltd,TECHM,"IT Services & Consulting","134045.64196019998","1383.15","30.272276865447136"
Divi's Laboratories Ltd,DIVISLAB,"Labs & Life Sciences Services","131372.4361846","4948.7","66.2062683300324"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","128871.4916624","184.75","10.706760265260714"
Vedanta Ltd,VEDL,"Metals - Diversified","121774.610126505","328.65","10.496001562360368"
NTPC Ltd,NTPC,"Power Generation","114663.07703454999","118.25","7.835051315581598"
SBI Life Insurance Company Ltd,SBILIFE,"Insurance","113876.56036769999","1138.6","78.21998170670162"
Pidilite Industries Ltd,PIDILITIND,"Diversified Chemicals","112134.20636460002","2206.7","99.12766538891982"
Bajaj Auto Ltd,BAJAJ-AUTO,"Two Wheelers","110704.5876765","3825.75","22.792697513392987"
Tata Motors Ltd,TATAMOTORS,"Four Wheelers","109249.90977522501","307.25","-8.12183051530177"
Tata Motors Ltd - DVR,TATAMTRDVR,"Four Wheelers","109249.90977522501","142.25","-8.357276326989325"
Adani Transmission Ltd,ADANITRANS,"Power Infrastructure","106808.05621054501","971.15","87.25863224285573"
Dabur India Ltd,DABUR,"FMCG - Personal Products","104002.71121641001","588.3","61.4201330044351"
Adani Total Gas Ltd,ATGL,"Gas Distribution","100874.58081276","917.2","217.95639949172462"
Godrej Consumer Products Ltd,GODREJCP,"FMCG - Personal Products","100541.5778385","983.25","58.42655120146209"
Bharat Petroleum Corporation Ltd,BPCL,"Oil & Gas - Refining & Marketing","100341.33233004001","454.9","6.207327960197915"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","99068.790716175","442.05","28.443523030770887"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","98519.17311873","104.65","4.553018623940255"
Grasim Industries Ltd,GRASIM,"Cement","98319.18835889","1496.9","22.839326234056177"
SBI Cards and Payment Services Ltd,SBICARD,"Payment Infrastructure","96927.00949401","1029.9","98.45103146102672"
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,"Insurance","96462.96402834","671.4","100.88685251094486"
Shree Cement Ltd,SHREECEM,"Cement","95976.23290992","26600.4","41.986741551321835"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","92949.555736005","778.65","51.282796449086774"
Coal India Ltd,COALINDIA,"Mining - Coal","88589.219700625","143.75","6.97558952877741"
Britannia Industries Ltd,BRITANNIA,"FMCG - Foods","86220.01089468","3579.55","46.257852296088835"
Larsen & Toubro Infotech Ltd,LTI,"IT Services & Consulting","85136.27402124999","4862.5","43.97307681485981"
DLF Ltd,DLF,"Real Estate","82328.86734155999","332.6","75.28174334686034"
Siemens Ltd,SIEMENS,"Conglomerates","79940.094241125","2244.75","105.67097718588909"
Ambuja Cements Ltd,AMBUJACEM,"Cement","79912.292241105","402.45","33.78326748558622"
Indusind Bank Ltd,INDUSINDBK,"Private Banks","79268.078211835","1024.15","27.052935968900456"
Berger Paints India Ltd,BERGEPAINT,"Paints","78786.596926255","811.15","109.4638373410976"
Havells India Ltd,HAVELLS,"Electrical Components & Equipments","77754.99347889","1242.15","74.45585456319486"
Dr Reddy's Laboratories Ltd,DRREDDY,"Pharmaceuticals","77155.78981208001","4652.2","39.53463302525106"
Tata Consumer Products Ltd,TATACONSUM,"Tea & Coffee","74410.693227675","807.45","86.85836560211384"
Cipla Ltd,CIPLA,"Pharmaceuticals","72146.10135407999","894.4","30.000000563057455"
Gland Pharma Ltd,GLAND,"Pharmaceuticals","70411.76080856","4287.2","70.62575685182092"
Info Edge (India) Ltd,NAUKRI,"Online Services","69789.977855015","5428.55","49.599154173902676"
Eicher Motors Ltd,EICHERMOT,"Trucks & Buses","69629.42846496","2546.8","51.696447716561856"
Marico Ltd,MARICO,"FMCG - Personal Products","66481.57161974","515.3","56.72489046052901"
ICICI Lombard General Insurance Company Ltd,ICICIGI,"Insurance","65928.13338551999","1450.05","44.75651264427313"
GAIL (India) Ltd,GAIL,"Gas Distribution","65895.316739","148.4","10.73851992454798"
Piramal Enterprises Ltd,PEL,"Diversified Financials","64622.98831716001","2724.9","48.50337625317854"
Interglobe Aviation Ltd,INDIGO,"Airlines","64559.041064380006","1676.6","-11.118542902330693"
HDFC Asset Management Company Ltd,HDFCAMC,"Asset Management","62632.525637369996","2939.55","47.24273295119028"
UPL Ltd,UPL,"Fertilizers & Agro Chemicals","59526.78147696001","779.1","20.733814516530828"
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,"Hospitals & Diagnostic Centres","58435.52245137","4064.1","388.5340588521907"
Muthoot Finance Ltd,MUTHOOTFIN,"Consumer Finance","58222.05852432","1451.2","15.30387407326254"
Indus Towers Ltd,INDUSTOWER,"Telecom Infrastructure","57526.547211","213.5","15.22269045011908"
Cadila Healthcare Ltd,CADILAHC,"Pharmaceuticals","57170.90549700001","558.45","26.795512512654632"
Hero MotoCorp Ltd,HEROMOTOCO,"Two Wheelers","55386.948124","2772.2","18.982760045925804"
Steel Authority of India Ltd,SAIL,"Iron & Steel","55328.386246155","133.95","13.33815146732505"
SRF Ltd,SRF,"Textiles","52471.108260299996","8856.6","43.801115465131794"
Mphasis Ltd,MPHASIS,"IT Services & Consulting","51565.585968105","2753.85","42.37802923085551"
Gujarat Gas Ltd,GUJGASLTD,"Gas Distribution","50816.9590275","738.2","39.77159238917759"
NMDC Ltd,NMDC,"Mining - Iron Ore","50333.15547375","171.75","8.056089060179197"
Torrent Pharmaceuticals Ltd,TORNTPHARM,"Pharmaceuticals","50153.38364","2963.75","40.062452982713964"
Jubilant Foodworks Ltd,JUBLFOOD,"Restaurants & Cafes","49799.91404175","3781.5","214.9698439167314"
MindTree Ltd,MINDTREE,"IT Services & Consulting","48129.94895148","2920.95","43.340791491652425"
United Spirits Ltd,MCDOWELL-N,"Alcoholic Beverages","47994.487125750005","660.5","125.11597269486349"
PI Industries Ltd,PIIND,"Diversified Chemicals","47641.08778902","3141.9","64.52808856700528"
Bandhan Bank Ltd,BANDHANBNK,"Private Banks","47281.33209966","293.55","21.43830860666711"
Bajaj Holdings and Investment Ltd,BAJAJHLDNG,"Asset Management","46715.4508225","4197.5","12.799349784099535"
Colgate-Palmolive (India) Ltd,COLPAL,"FMCG - Personal Products","44660.0411028","1642","43.133544947121365"
Aurobindo Pharma Ltd,AUROPHARMA,"Pharmaceuticals","44607.50630317","761.3","8.361545295298452"
Lupin Ltd,LUPIN,"Pharmaceuticals","44345.414142890004","976.85","36.45238024782783"
Balkrishna Industries Ltd,BALKRISIND,"Tires & Rubber","44310.233119900004","2292.1","37.62981250575359"
Biocon Ltd,BIOCON,"Biotechnology","44185.7911458","371.4","59.67021086536117"
Alkem Laboratories Ltd,ALKEM,"Pharmaceuticals","43728.50745","3657.3","27.588615569519636"
ACC Ltd,ACC,"Cement","43352.56753618","2308.6","30.312665214294753"
Jindal Steel And Power Ltd,JINDALSTEL,"Iron & Steel","43274.177569675","424.25","10.872444536206997"
Godrej Properties Ltd,GODREJPROP,"Real Estate","42987.210824985","1546.45","-226.92926582370836"
Bosch Ltd,BOSCHLTD,"Auto Parts","42579.3781952","14436.8","88.33895891120318"
Indian Railway Catering and Tourism Corporation Ltd,IRCTC,"Online Services","42571.2","2660.7","224.1769352290678"
Bharat Electronics Ltd,BEL,"Electronic Equipments","42518.54685535","174.5","20.555057169062916"
Tata Power Company Ltd,TATAPOWER,"Power Transmission & Distribution","42354.225695485","132.55","37.5687218998786"
Bank of Baroda Ltd,BANKBARODA,"Public Banks","41913.07675","80.95","27.081579125906448"
Procter & Gamble Hygiene and Health Care Ltd,PGHH,"FMCG - Personal Products","41775.83110624","12869.65","96.46215735254458"
Punjab National Bank,PNB,"Public Banks","41566.58373145","37.75","16.22439821210554"
AU Small Finance Bank Ltd,AUBANK,"Consumer Finance","41516.391947879994","1326.45","35.46348442604298"
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,"Consumer Finance","41289.161698514996","503.35","27.148561799583803"
IDBI Bank Ltd,IDBI,"Public Banks","41181.70033025","38.3","27.201133661994614"
Astral Ltd,ASTRAL,"Building Products - Pipes","40901.807948279995","2035.85","101.14195832908005"
Tata Communications Ltd,TATACOMM,"Telecom Services","40662.375","1426.75","32.513513189352636"
Container Corporation of India Ltd,CONCOR,"Logistics","40585.09652028","666.1","85.65328603144596"
Abbott India Ltd,ABBOTINDIA,"Pharmaceuticals","40396.09181361","19010.55","58.486574025409354"
Oracle Financial Services Software Ltd,OFSS,"Software Services","39782.09147909","4618.45","22.579598537392304"
Indian Overseas Bank,IOB,"Public Banks","39695.0657376","21","47.74082737513085"
JSW Energy Ltd,JSWENERGY,"Power Generation","39392.377477425","239.75","49.520261323257635"
L&T Technology Services Ltd,LTTS,"Software Services","38844.78187299","3697.45","58.562915532926326"
Ashok Leyland Ltd,ASHOKLEY,"Trucks & Buses","38249.92040628","130.3","-231.49500941887106"
Bharat Forge Ltd,BHARATFORG,"Iron & Steel","38164.30016504","819.7","-301.95664344520947"
Laurus Labs Ltd,LAURUSLABS,"Pharmaceuticals","37951.203679125","707.25","38.58476552911305"
Indraprastha Gas Ltd,IGL,"Gas Distribution","37460.542812","535.15","31.94792785979276"
Max Financial Services Ltd,MFSL,"Insurance","37224.079200060005","1078.6","87.50576929420039"
ABB India Ltd,ABB,"Heavy Electrical Equipments","37040.524408125","1747.95","168.9650780408951"
United Breweries Ltd,UBL,"Alcoholic Beverages","36925.501083594994","1396.55","326.13938423948906"
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","36413.1268125","1088.95","11.240492802041084"
Hindustan Petroleum Corp Ltd,HINDPETRO,"Oil & Gas - Refining & Marketing","36180.075539225","255.05","3.3930834454097343"
Dalmia Bharat Ltd,DALBHARAT,"Cement","35889.138993399996","1918","29.15445897108042"
Honeywell Automation India Ltd,HONAUT,"Electronic Equipments","35720.81390276","40401.2","77.64719133718805"
Shriram Transport Finance Company Ltd,SRTRANSFIN,"Consumer Finance","34808.821801565","1295.05","13.930047983082087"
Page Industries Ltd,PAGEIND,"Apparel & Accessories","34781.627218530004","31183.45","102.12768951619347"
Aarti Industries Ltd,AARTIIND,"Specialty Chemicals","34002.878483","938","64.9566899402067"
Power Finance Corporation Ltd,PFC,"Specialized Finance","33885.44487168","128.35","2.8844003421636164"
Kansai Nerolac Paints Ltd,KANSAINER,"Paints","33849.5476132","628.1","63.89841736172453"
Varun Beverages Ltd,VBL,"Soft Drinks","33577.3850232","775.4","102.06202323231686"
MRF Ltd,MRF,"Tires & Rubber","33451.103566755","78872.85","26.193838634641274"
Voltas Ltd,VOLTAS,"Home Electronics & Appliances","32620.2720929","985.85","62.11728699565837"
Petronet LNG Ltd,PETRONET,"Oil & Gas - Storage & Transportation","32370.001899040002","215.8","11.013089108045307"
Dr. Lal PathLabs Ltd,LALPATHLAB,"Hospitals & Diagnostic Centres","31569.30441875","3820.25","108.25493593975045"
Trent Ltd,TRENT,"Retail - Apparel","31384.210494385003","882.85","-214.71034066077073"
Max Healthcare Institute Ltd,MAXHEALTH,"Hospitals & Diagnostic Centres","30789.49706625","318.75","-268.90390450873275"
IPCA Laboratories Ltd,IPCALAB,"Pharmaceuticals","30259.936341405002","2385.45","26.54357096990818"
Yes Bank Ltd,YESBANK,"Private Banks","29815.338117389998","11.9","-8.545721345685775"
Crompton Greaves Consumer Electricals Ltd,CROMPTON,"Home Electronics & Appliances","29747.610229399997","473.8","48.240671741506524"
Relaxo Footwears Ltd,RELAXO,"Footwear","29296.29254992","1179.2","100.48117900233234"
Deepak Nitrite Ltd,DEEPAKNTR,"Commodity Chemicals","29221.527069044998","2142.45","37.665829351316674"
Coforge Ltd,COFORGE,"IT Services & Consulting","29157.387","4811.45","63.997776558384444"
REC Ltd,RECLTD,"Specialized Finance","29001.67083","146.85","3.461546915581314"
General Insurance Corporation of India,GICRE,"Insurance","29000.232","165.3","14.561346461872121"
Polycab India Ltd,POLYCAB,"Electrical Components & Equipments","28345.504590974997","1900.25","32.13448127852598"
