Symbol,Company Name,Industry,Capitalization,ISIN Code
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SERVICES,LARGE_CAP,INE742F01042
ASIANPAINT,Asian Paints Ltd.,CONSUMER GOODS,LARGE_CAP,INE021A01026
AXISBANK,Axis Bank Ltd.,FINANCIAL SERVICES,LARGE_CAP,INE238A01034
BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILE,LARGE_CAP,INE917I01010
BAJFINANCE,Bajaj Finance Ltd.,FINANCIAL SERVICES,LARGE_CAP,INE296A01024
BAJAJFINSV,Bajaj Finserv Ltd.,FINANCIAL SERVICES,LARGE_CAP,INE918I01018
BPCL,Bharat Petroleum Corporation Ltd.,OIL & GAS,LARGE_CAP,INE029A01011
BHARTIARTL,Bharti Airtel Ltd.,TELECOM,LARGE_CAP,INE397D01024
BRITANNIA,Britannia Industries Ltd.,CONSUMER GOODS,LARGE_CAP,INE216A01030
CIPLA,Cipla Ltd.,PHARMA,LARGE_CAP,INE059A01026
COALINDIA,Coal India Ltd.,METALS,LARGE_CAP,INE522F01014
DIVISLAB,Divi's Laboratories Ltd.,PHARMA,LARGE_CAP,INE361B01024
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMA,LARGE_CAP,INE089A01023
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILE,LARGE_CAP,INE066A01021
GAIL,GAIL (India) Ltd.,OIL & GAS,LARGE_CAP,INE129A01019
GRASIM,Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,LARGE_CAP,INE047A01021
HCLTECH,HCL Technologies Ltd.,IT,LARGE_CAP,INE860A01027
HDFCBANK,HDFC Bank Ltd.,FINANCIAL SERVICES,LARGE_CAP,INE040A01034
HDFCLIFE,HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,LARGE_CAP,INE795G01014
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILE,LARGE_CAP,INE158A01026
HINDALCO,Hindalco Industries Ltd.,METALS,LARGE_CAP,INE038A01020
HINDUNILVR,Hindustan Unilever Ltd.,CONSUMER GOODS,LARGE_CAP,INE030A01027
HDFC,Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,LARGE_CAP,INE001A01036
ICICIBANK,ICICI Bank Ltd.,FINANCIAL SERVICES,LARGE_CAP,INE090A01021
ITC,ITC Ltd.,CONSUMER GOODS,LARGE_CAP,INE154A01025
IOC,Indian Oil Corporation Ltd.,OIL & GAS,LARGE_CAP,INE242A01010
INDUSINDBK,IndusInd Bank Ltd.,FINANCIAL SERVICES,LARGE_CAP,INE095A01012
INFY,Infosys Ltd.,IT,LARGE_CAP,INE009A01021
JSWSTEEL,JSW Steel Ltd.,METALS,LARGE_CAP,INE019A01038
KOTAKBANK,Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,LARGE_CAP,INE237A01028
LT,Larsen & Toubro Ltd.,CONSTRUCTION,LARGE_CAP,INE018A01030
M&M,Mahindra & Mahindra Ltd.,AUTOMOBILE,LARGE_CAP,INE101A01026
MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILE,LARGE_CAP,INE585B01010
NTPC,NTPC Ltd.,POWER,LARGE_CAP,INE733E01010
NESTLEIND,Nestle India Ltd.,CONSUMER GOODS,LARGE_CAP,INE239A01016
ONGC,Oil & Natural Gas Corporation Ltd.,OIL & GAS,LARGE_CAP,INE213A01029
POWERGRID,Power Grid Corporation of India Ltd.,POWER,LARGE_CAP,INE752E01010
RELIANCE,Reliance Industries Ltd.,OIL & GAS,LARGE_CAP,INE002A01018
SBILIFE,SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,LARGE_CAP,INE123W01016
SHREECEM,Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,LARGE_CAP,INE070A01015
SBIN,State Bank of India,FINANCIAL SERVICES,LARGE_CAP,INE062A01020
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMA,LARGE_CAP,INE044A01036
TCS,Tata Consultancy Services Ltd.,IT,LARGE_CAP,INE467B01029
TATAMOTORS,Tata Motors Ltd.,AUTOMOBILE,LARGE_CAP,INE155A01022
